name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
GM,general-motors,1908,,,,,"190,000",gm.com,$15.8B,$105.9B,"Detroit, Michigan",Public,2010-11-26,Y,NYSE,GM,HONDA,NISSAN,TOYOTA,Volkswagen AG,Ford,Hyundai,Chevrolet,Dodge,,,
ScatterRadio,,2009,,2017-06-08,,,10,scatterradio.com,,,"San Francisco, California",Private,,Y,,,TUNEIN,DEEZER,Radionomy,96.9 WOUR,Play It,8tracks,TIDAL,GUVERA,,,No information on Crunchbase
Radionomy,radionomy,2007,2007-09-24,,2015-12-18,vivendiuniversal,40,radionomygroup.com,$6M,$4.9M,"New York, New York",Private,,Vivendi SA,,,TUNEIN,Earbits,ScatterRadio,You42,iHeartRADIO,Base,LIVE365,DEEZER,,,
96.9 WOUR,wour-fm,1969,,,2018-02-15,townsquare-media,170,wour.com,,$12M,"New Hartford, New York",Private,,"Townsquare Media, Inc.",,,8tracks,TUNEIN,LIVE365,Radionomy,Slacker,iHeartRADIO,ScatterRadio,DSL Radio,,,
Earbits,earbits,2010,2010-01-20,,2014-06-19,you42,32,earbits.com,$630K,$4M,"Venice, California",Private,,You42,,,Radionomy,TUNEIN,ScatterRadio,iHeartRADIO,Sci Fi Generation,CEC,LIVE365,Pandora,,,
DSL Radio,,,,,,,4,dslradio.us,,$291.6K,"Brooklyn, New York",Private,,Y,,,Sceptreradionetwork,Lazer Broadcasting,MMP,G & E Studio,Kid Red Radio,Streema,Radioliveonair,Harout Pamboukjian,,,No information on Crunchbase
Web-Radio,,1995,,,,,25,web-radio.com,,$1.1M,,Private,,Y,,,DSL Radio,Sceptreradionetwork,mxdwn,LIVE365,MMP,Kid Red Radio,G & E Studio,Radioliveonair,,,No information on Crunchbase
Radioliveonair,,,,,,,,live-onradio.com,,,,Private,,Y,,,G & E Studio,LIVE365,Web-Radio,DSL Radio,Sceptreradionetwork,MMP,Kid Red Radio,Lazer Broadcasting,,,No information on Crunchbase
MMP,,,,,,,,knookmedia.com,,,,Private,,Y,,,DSL Radio,Web-Radio,G & E Studio,Sceptreradionetwork,LIVE365,Radioliveonair,Kid Red Radio,Lazer Broadcasting,,,No information on Crunchbase
SALEM MEDIA GROUP,salem-media-group,1986,,,,,"1,590",salemmedia.com,,$69.4M,"Camarillo, California",Public,1999-07-09,Y,NASDAQ,SALM,SiriusXM,Clipix,CBS RADIO,Pandora,iBiquity Digital,Emmis,Pocket,Entercom,,,
Saga,saga-communications,1986,,,,,683,sagacom.com,,$114.7M,"Grosse Pointe Farms, Michigan",Public,2003-01-10,Y,,,Entercom,CBS RADIO,Emmis,SiriusXM,Townsquare,Pandora,iHeartMEDIAINC,iHeartRADIO,,,
Journal Media Group,journal-media-group,2014,,,2015-10-07,gannett,"3,400",journalmediagroup.com,$258.8M,$441M,"Milwaukee, Wisconsin",Public,,Tegna Inc,NYSE,JMG,SCRIPPS,LEE ENTERPRISES,McCLATCHY,A.H. BELO CORPORATION,COX Media,The New York Times,GateHouse Media,HEARST,,,
Tronc,the-tribune-company,1847,1847-10-10,,,,"6,458",tronc.com,,$2.3B,"Chicago, Illinois",Public,2014-07-25,Y,NASDAQ,TRNC,GANNETT,The New York Times,McCLATCHY,The Washington Post,THE WALL STREET JOURNAL,News Corp,SCRIPPS,HEARST,,,
