name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
Carmody Painting,carmodypainting,2009,2009,,,,23,carmodypainting.com,$ -,$ < 1M,West Michigan,Private,,Y,,,Gowithbrad,89-paint,House Painters,Northsdcountyhomevalues,San Diego Painters - Best Choice Painting Improvements,Searchsandiegocountyhomes,Lookatsandiegohomes,Hitech Painting,,,
Acura of Peoria,acuraofpeoria,1986,1986,,,,76,acuraofpeoria.com,$ -,$11.8M,"Peoria, Arizona",Private,,Y,,,Acuraofthedesert,Joe Bullard Auto,Vandergriff Acura,Scotts Motor Werks,Mobile Mercedes Doctor,Goodson Acura,Sewell,Oesinc,,,
Acuraofthedesert,acuraofthedesert,1986,1986,,,,10,acuraofthedesert.com,$ -,$10M,"Cathedral City , San Diego",Private,,Y,,,Acura of Peoria,Joe Bullard Auto,Scotts Motor Werks,Mobile Mercedes Doctor,Vandergriff Acura,Goodson Acura,Phoenix Mini Specialists,Phoenix Tattoo Shops,,,
VIVOMED,vivomed,2000,2000,,,,50,vivomed.com,$ -,$6.9M,"Downpatrick, Northern Ireland",Private,,Y,,,McDavid,PhysioRoom,Collinssports,Foryourarms.com Foryourarms,,,,,,,
PhysioRoom,physioroom,2001,2001,,,,39,physioroom.com,$ -,$4.4M,"Padiham, Lancashire",Private,,Y,,,McDavid,VIVOMED,Collinssports,Foryourarms.com Foryourarms,,,,,,,
Collinssports,collinssportscenter,1984,1984,,,,38,collinssports.net,$ -,$5.7M,"Rochester, New Hampshire",Private,,Y,,,,,,,,,,,,,
Foryourarms,foryourarms,2010,2010,,,,7,foryourarms.com,$ -,$ < 1M,"Vernon Hills, IL",Private,,Y,,,McDavid,VIVOMED,PhysioRoom,Collinssports,,,,,,,
Benson Honda,bensonhonda,,,,,,60,bensonhonda.com,$ -,$16.2M,"San Antonio, Texas",Private,,Y,,,Autonation Toyota Scion North Arlington,Frank Kent Cadillac,Avery Greene Motors,Hub Hyundai,Millstoyota,Honda Gallery,Riverland Ford,Vandergriff Honda,,,
Burleson Nissan,burlesonnissan,2012,2012,,,,43,burlesonnissan.com,$ -,$2.8M,"Burleson, Texas",Private,,Y,,,Skye Tx Realty Group,Sparklingswimmingpools,Vandergriff Honda,Benson Honda,Honda of Paris,El Paso Honda,John Eagle Honda Of Houston,Julie Harding Photography,,,
El Paso Honda,elpasohonda,,,,,,56,elpasohonda.com,$ -,$11.5M,"El Paso, Texas",Private,,Y,,,Vandergriff Honda,Benson Honda,Burleson Nissan,Honda of Paris,John Eagle Honda Of Houston,Goodson Acura,Cleobayhonda,Autonation Toyota Scion North Arlington,,,
