"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"dex-media","wbal",5,1,"135d5925-97af-4fb1-9095-ecefcce87da2","1925-01-01",NA,NA,"7d64cfba-2937-03dc-bcf2-4db966018a6f","2013-01-01",NA,NA
"dex-media","fox45-news",6,1,"0bf2f426-1596-45d8-8b53-9a05d71c6883","1991-01-01",NA,NA,"7d64cfba-2937-03dc-bcf2-4db966018a6f","2013-01-01",NA,NA
"dex-media","the-baltimore-sun",5,1,"59a23a58-b489-d427-e2ea-38f7c5ab98be","1837-05-17",NA,NA,"7d64cfba-2937-03dc-bcf2-4db966018a6f","2013-01-01",NA,NA
"dex-media","wbal-tv",8,1,"04acc8dc-11a0-47b2-aeae-e1cc83404814","1949-03-01",NA,NA,"7d64cfba-2937-03dc-bcf2-4db966018a6f","2013-01-01",NA,NA
"diamond2autosales","auto-broker-jax",2,1,"3046cf85-ac1f-4bd7-8899-d80a5665c835","2013-01-01",NA,NA,"e4b60037-9dd5-4a2f-ae35-0868817fd116","1991-01-01",NA,NA
"diamond2autosales","coralspringsautomall",4,1,"243fa47e-d951-4865-9afc-8c91131f48ed","2014-01-01",NA,NA,"e4b60037-9dd5-4a2f-ae35-0868817fd116","1991-01-01",NA,NA
"diamond2autosales","mikeauto",4,1,"d8d83e43-9f27-4449-8f32-dfa59f53d058","1994-01-01",NA,NA,"e4b60037-9dd5-4a2f-ae35-0868817fd116","1991-01-01",NA,NA
"diamond2autosales","motorcarsofstuart",1,1,"0a9e5fa9-5bb2-4322-8a1e-381543a285f5","1961-01-01",NA,NA,"e4b60037-9dd5-4a2f-ae35-0868817fd116","1991-01-01",NA,NA
"diamond2autosales","offleaseonly",3,1,"e36b7f7d-f023-4f0e-ac84-17d1e42ac20b","1992-01-01",NA,NA,"e4b60037-9dd5-4a2f-ae35-0868817fd116","1991-01-01",NA,NA
"dice-com","ziprecruiter",4,1,"0bf726bf-1902-1756-ca9e-a4c8cd6a90a4","2010-03-01",NA,NA,"c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03","1990-01-01",NA,NA
"dice-com","simply-hired",6,1,"6f2c4d97-2fdf-d8cd-73be-a7a2332d57a2","2004-05-01","2016-07-01",NA,"c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03","1990-01-01",NA,NA
"dice-com","linkedin",7,1,"86da6213-5b43-6419-4047-472102ccf66f","2003-05-05","2016-06-13",NA,"c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03","1990-01-01",NA,NA
"dice-com","monster",3,1,"66b01abe-71a4-6943-5d8d-669e2b775998","1994-01-01","2016-08-08",NA,"c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03","1990-01-01",NA,NA
"dice-com","careerbuilder-com",4,1,"0c90ade1-15f1-c498-56b2-612aae41226a","1995-01-01","2017-06-19",NA,"c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03","1990-01-01",NA,NA
"dice-com","indeed",2,1,"b14269ea-89b8-2883-fce9-087ffb04d451","2004-11-01","2012-10-01",NA,"c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03","1990-01-01",NA,NA
"directv","orlando-sentinel",5,1,"b2d484c3-12d6-0fe3-dfa4-a1f7f8588ee9","1876-01-01",NA,NA,"47b07ea7-f188-15eb-2df6-d6aad2a52871","1990-01-01","2015-07-24",NA
"directv","bright-house-networks",2,1,"fd5d047e-2a57-b296-539b-f5facc6ed48f","1981-01-01","2015-03-31",NA,"47b07ea7-f188-15eb-2df6-d6aad2a52871","1990-01-01","2015-07-24",NA
"directv","time-warner-cable",2,1,"af03e8f4-d9cc-b4c2-da5f-9207ee2ebd9d","1989-01-01","2015-05-26",NA,"47b07ea7-f188-15eb-2df6-d6aad2a52871","1990-01-01","2015-07-24",NA
"directv","time-warner-cable",2,1,"af03e8f4-d9cc-b4c2-da5f-9207ee2ebd9d","1993-01-01","2015-05-26",NA,"47b07ea7-f188-15eb-2df6-d6aad2a52871","1990-01-01","2015-07-24",NA
